Code,Entity,Mismanaged waste (% global total)
ALB,Albania,0.0933
DZA,Algeria,1.6347
AGO,Angola,0.1964
AIA,Anguilla,0.0002
ATG,Antigua and Barbuda,0.0039
ARG,Argentina,0.4955
ABW,Aruba,0.0012
AUS,Australia,0.0436
BHS,Bahamas,0.0042
BHR,Bahrain,0.0137
BGD,Bangladesh,2.4725
BRB,Barbados,0.0109
BEL,Belgium,0.0086
BLZ,Belize,0.0122
BEN,Benin,0.1351
BMU,Bermuda,0.0004
BIH,Bosnia and Herzegovina,0.0407
BRA,Brazil,1.4804
VGB,British Virgin Islands,0.0002
BRN,Brunei,0.0003
BGR,Bulgaria,0.0588
KHM,Cambodia,0.0932
CMR,Cameroon,0.087
CAN,Canada,0.025
CPV,Cape Verde,0.0294
CYM,Cayman Islands,0.0003
OWID_CIS,Channel Islands,0.0009
CHL,Chile,0.0683
CHN,China,27.6966
CXR,Christmas Island,0
CCK,Cocos Islands,0
COL,Colombia,0.2895
COM,Comoros,0.1822
COG,Congo,0.0527
COK,Cook Islands,0.0013
CRI,Costa Rica,0.1322
CIV,Cote d'Ivoire,0.611
HRV,Croatia,0.0517
CUB,Cuba,0.2846
CUW,Curacao,0.0008
CYP,Cyprus,0.0057
COD,Democratic Republic of Congo,0.0478
DNK,Denmark,0.0056
DJI,Djibouti,0.0544
DMA,Dominica,0.0025
DOM,Dominican Republic,0.3713
ECU,Ecuador,0.3435
EGY,Egypt,3.0367
SLV,El Salvador,0.3729
GNQ,Equatorial Guinea,0.0188
ERI,Eritrea,0.0511
EST,Estonia,0.0188
FRO,Faeroe Islands,0.0003
FLK,Falkland Islands,0
FJI,Fiji,0.1547
FIN,Finland,0.0157
FRA,France,0.0757
GUF,French Guiana,0.0074
PYF,French Polynesia,0.004
GAB,Gabon,0.0191
GMB,Gambia,0.0616
GEO,Georgia,0.0454
DEU,Germany,0.0981
GHA,Ghana,0.2876
GIB,Gibraltar,0.0002
GRC,Greece,0.0447
GRL,Greenland,0.0003
GRD,Grenada,0.0071
GLP,Guadeloupe,0.0206
GUM,Guam,0.0012
GTM,Guatemala,0.2875
GGY,Guernsey,0.0003
GIN,Guinea,0.0581
GNB,Guinea-Bissau,0.0636
GUY,Guyana,0.1319
HTI,Haiti,0.4628
HND,Honduras,0.3003
HKG,Hong Kong,0.0895
ISL,Iceland,0.0019
IND,India,1.8836
IDN,Indonesia,10.1019
IRN,Iran,0.7769
IRQ,Iraq,0.0489
IRL,Ireland,0.0368
ISR,Israel,0.0597
ITA,Italy,0.1029
JAM,Jamaica,0.0315
JPN,Japan,0.4494
JOR,Jordan,0.0055
KEN,Kenya,0.0712
KIR,Kiribati,0.0096
KWT,Kuwait,0.0361
LVA,Latvia,0.0323
LBN,Lebanon,0.1502
LBR,Liberia,0.1781
LBY,Libya,0.1657
LTU,Lithuania,0.0109
MAC,Macao,0.0022
MDG,Madagascar,0.1084
MYS,Malaysia,2.9419
MDV,Maldives,0.0988
MLT,Malta,0.0082
MHL,Marshall Islands,0.01
MTQ,Martinique,0.0024
MRT,Mauritania,0.0435
MUS,Mauritius,0.176
MEX,Mexico,0.3182
FSM,Micronesia (country),0.0151
MCO,Monaco,0.0002
MNE,Montenegro,0.0139
MSR,Montserrat,0.0001
MAR,Morocco,0.9739
MOZ,Mozambique,0.1444
MMR,Myanmar,1.4391
NAM,Namibia,0.0172
NRU,Nauru,0.0017
NLD,Netherlands,0.087
ANT,Netherlands Antilles,0.0013
NCL,New Caledonia,0.0015
NZL,New Zealand,0.0292
NIC,Nicaragua,0.2651
NGA,Nigeria,2.674
NIU,Niue,0
NFK,Norfolk Island,0.0002
PRK,North Korea,0.9557
MNP,Northern Mariana Islands,0.0007
NOR,Norway,0.0264
OMN,Oman,0.0146
PAK,Pakistan,1.5089
PLW,Palau,0.0022
PSE,Palestine,0.0176
PAN,Panama,0.108
PNG,Papua New Guinea,0.2821
PER,Peru,0.6106
PHL,Philippines,5.9153
POL,Poland,0.0493
PRT,Portugal,0.0515
PRI,Puerto Rico,0.0519
QAT,Qatar,0.0024
REU,Reunion,0.0027
ROU,Romania,0.0113
RUS,Russia,0.2536
SHN,Saint Helena,0.0003
KNA,Saint Kitts and Nevis,0.0022
LCA,Saint Lucia,0.0211
SPM,Saint Pierre and Miquelon,0
VCT,Saint Vincent and the Grenadines,0.007
WSM,Samoa,0.0161
STP,Sao Tome and Principe,0.016
SAU,Saudi Arabia,0.0645
SEN,Senegal,0.8001
SYC,Seychelles,0.0145
SLE,Sierra Leone,0.1143
SGP,Singapore,0.0203
SXM,Sint Maarten (Dutch part),0.0002
SVN,Slovenia,0.0017
SLB,Solomon Islands,0.064
SOM,Somalia,0.3188
ZAF,South Africa,1.9784
KOR,South Korea,0.106
ESP,Spain,0.144
LKA,Sri Lanka,4.9968
SDN,Sudan,0.072
SUR,Suriname,0.0124
SWE,Sweden,0.0068
SYR,Syria,0.4959
TWN,Taiwan,0.1436
TZA,Tanzania,0.1526
THA,Thailand,3.2274
TGO,Togo,0.1112
TKL,Tokelau,0.0001
TON,Tonga,0.0208
TTO,Trinidad and Tobago,0.2954
TUN,Tunisia,0.7358
TUR,Turkey,1.526
TCA,Turks and Caicos Islands,0.0002
TUV,Tuvalu,0.0014
UKR,Ukraine,0.4044
ARE,United Arab Emirates,0.0095
GBR,United Kingdom,0.2121
USA,United States,0.8649
URY,Uruguay,0.0677
VUT,Vanuatu,0.0706
VEN,Venezuela,0.3214
VNM,Vietnam,5.7588
YEM,Yemen,0.531
